,features,timepoint,subject
0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 64, 156, 231, 605, 1141, 2135, 3851, 4799, 9183, 12959, 15563, 16834, 13090, 15136, 13718, 12218, 11244, 8573, 9898, 9342, 8914, 8242, 6494, 7635, 7359, 7270, 7012, 5414, 6745, 6713, 6775, 6427, 5197, 6370, 6337, 6342, 6311, 5062, 6175, 6100, 5822, 5659, 4406, 5499, 5311, 5375, 5277, 4242, 5625, 5646, 6181, 6675, 5822, 7425, 7991, 8139, 8077, 6440, 7671, 7184, 6589, 6218, 4460, 5378, 4914, 4645, 4531, 3600, 4298, 4262, 4312, 4160, 3276, 3784, 3809, 3430, 3042, 2341, 2781, 2446, 2198, 2008, 1435, 1668, 1412, 1093, 787, 440, 304, 145, 82, 24, 4, 8, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,00002
1,"[0, 0, 0, 0, 0, 0, 7, 44, 90, 175, 401, 563, 901, 1437, 2273, 3798, 5821, 11350, 12672, 14993, 15183, 14004, 12017, 10592, 11370, 8064, 7714, 7219, 6945, 6749, 6482, 6169, 7304, 5806, 5704, 5548, 5578, 5313, 5364, 6567, 5245, 5471, 5297, 5219, 5293, 5016, 6037, 4731, 4654, 4365, 4385, 4253, 4329, 5345, 4209, 4112, 4356, 4263, 4235, 4280, 5281, 4306, 4261, 4244, 4378, 4497, 4468, 5526, 4679, 4918, 5296, 6118, 6916, 7871, 11813, 10076, 10907, 10950, 10968, 10503, 9669, 8674, 9370, 6362, 5309, 4457, 3831, 3224, 2831, 2958, 2009, 1713, 1370, 1031, 782, 471, 357, 143, 68, 45, 15, 11, 8, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,00002
2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 67, 399, 1101, 588, 549, 361, 379, 557, 519, 665, 1305, 1606, 2527, 5768, 6811, 9803, 17840, 15722, 21131, 14531, 12808, 14896, 9764, 9197, 11684, 8373, 8139, 10640, 7999, 10658, 8038, 7953, 10935, 8281, 8128, 10867, 8183, 7838, 10676, 8402, 8802, 12838, 10410, 15304, 12310, 13000, 17833, 13586, 13450, 17076, 11497, 10442, 12390, 8329, 9665, 6385, 5513, 5986, 3447, 2560, 2371, 1125, 729, 615, 252, 148, 134, 49, 27, 7, 5, 4, 4, 4, 2, 1, 0, 0, 0, 1, 1, 3, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,00003
3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 410, 492, 559, 397, 495, 403, 577, 500, 843, 875, 1946, 2329, 5379, 6962, 14762, 19841, 15675, 19119, 12147, 14723, 9771, 12463, 9084, 11808, 9075, 11929, 8859, 12387, 9275, 12540, 9665, 13134, 10023, 13853, 10749, 15519, 12410, 17734, 13905, 18303, 17652, 12149, 14610, 10173, 12687, 9037, 11627, 8358, 10715, 7399, 8811, 5774, 6462, 4095, 4264, 2326, 2144, 1048, 862, 363, 272, 96, 58, 22, 17, 6, 1, 5, 2, 2, 5, 5, 2, 1, 2, 3, 2, 2, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,00003
4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20, 44, 81, 65, 102, 99, 234, 301, 710, 1080, 2898, 4044, 9225, 10469, 18019, 15707, 15880, 20080, 14057, 16624, 11218, 13109, 9264, 11161, 7924, 10061, 7524, 9772, 7285, 10191, 7867, 10754, 8407, 8763, 12359, 9915, 14911, 11975, 17289, 13798, 19261, 14931, 19496, 13790, 17273, 11761, 13682, 8683, 9696, 6212, 5310, 6052, 3933, 4465, 2890, 3276, 1993, 2198, 1232, 1181, 600, 431, 170, 107, 31, 17, 4, 4, 4, 2, 2, 2, 2, 3, 0, 1, 1, 2, 2, 0, 3, 1, 0, 0, 1, 1, 2, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,00006
5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 44, 55, 122, 139, 351, 893, 1400, 3791, 5023, 10598, 10569, 16972, 13974, 18296, 13069, 16578, 11929, 15046, 10419, 12918, 8987, 11329, 8383, 10417, 7752, 10689, 8262, 11698, 9597, 13569, 11139, 16332, 12776, 17736, 13208, 17039, 12332, 15519, 10792, 13496, 9339, 11477, 8024, 9917, 6938, 8551, 5938, 7417, 5103, 6174, 4186, 4971, 3325, 3733, 2341, 2621, 2147, 1445, 1519, 970, 984, 528, 510, 259, 189, 58, 35, 10, 7, 7, 1, 1, 2, 2, 2, 2, 0, 0, 1, 1, 1, 1, 1, 0, 2, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,00006
6,"[0, 0, 0, 0, 0, 0, 0, 69, 166, 282, 508, 484, 1081, 1647, 2447, 3565, 5322, 5556, 9591, 12405, 14264, 14253, 13645, 9362, 10955, 9645, 8575, 7827, 7524, 5405, 6768, 6602, 6439, 6289, 6247, 4408, 6028, 5865, 5839, 5961, 6070, 4468, 6108, 5974, 6097, 6276, 6122, 4523, 5873, 5931, 5628, 5697, 4167, 5495, 5487, 5429, 5490, 5559, 4078, 5612, 5771, 5677, 5947, 5911, 4480, 5978, 6163, 6171, 6375, 6710, 5132, 7253, 7423, 7810, 8051, 8167, 6264, 8665, 8666, 8316, 8225, 7842, 5666, 7304, 6677, 5932, 5088, 4288, 2598, 2813, 2009, 1389, 874, 546, 248, 212, 109, 68, 31, 19, 12, 3, 4, 4, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,00007
7,"[0, 0, 0, 0, 22, 132, 208, 473, 707, 773, 1482, 1637, 3172, 4829, 5010, 9021, 8718, 13646, 14335, 10411, 12660, 8386, 10041, 8892, 5989, 7647, 5357, 6918, 6801, 5024, 6361, 4612, 5899, 5931, 4241, 5689, 4184, 5632, 5644, 4217, 5739, 4445, 5853, 6011, 4434, 6048, 4238, 5643, 5354, 3990, 5168, 3685, 4802, 4891, 3645, 4986, 3737, 5187, 5221, 4010, 5549, 4119, 5989, 6009, 4627, 6395, 4887, 6804, 6989, 5488, 7699, 5991, 8477, 9078, 7325, 10252, 7926, 11231, 11166, 8369, 10745, 7720, 9273, 8339, 5442, 6290, 3734, 4202, 3205, 1787, 1902, 905, 905, 573, 267, 266, 106, 78, 57, 23, 11, 6, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,00007
8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 106, 412, 917, 1881, 3772, 6985, 11447, 16379, 15977, 21024, 19479, 16716, 14385, 12601, 11415, 10493, 9732, 9306, 8689, 8236, 7886, 6187, 7652, 7566, 7228, 7094, 7173, 6839, 7367, 7739, 8040, 8446, 8695, 7325, 9280, 9392, 9309, 9534, 9577, 10013, 10599, 11606, 12741, 12914, 13534, 13072, 10030, 11390, 9958, 8610, 7260, 5940, 4623, 3669, 2783, 2245, 1800, 1398, 953, 934, 711, 523, 426, 356, 251, 220, 168, 161, 137, 91, 102, 50, 64, 70, 63, 41, 28, 32, 28, 20, 16, 17, 13, 6, 7, 5, 3, 6, 0, 2, 1, 1, 0, 2, 1, 4, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,00011
9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 129, 342, 609, 1082, 2654, 3828, 6057, 8786, 14761, 13560, 13981, 16126, 11767, 11105, 12980, 9814, 9453, 9147, 10871, 8106, 7656, 9032, 6887, 6495, 7825, 5965, 5725, 5470, 6623, 5182, 4859, 6117, 4959, 4928, 6246, 5001, 5002, 4921, 5941, 4747, 4773, 5933, 4639, 4685, 5698, 4549, 4476, 4754, 6195, 5282, 5635, 7993, 6911, 7460, 9719, 7898, 7830, 7440, 8939, 6652, 6394, 7490, 5753, 5490, 6536, 5131, 5079, 4962, 6224, 4982, 4815, 5733, 4444, 3982, 4654, 3294, 2851, 2377, 2522, 1652, 1258, 1248, 709, 552, 499, 298, 232, 171, 158, 89, 66, 43, 29, 14, 10, 9, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,00011
