/var/spool/slurm/slurmd/job775448/slurm_script: line 19: ./venv/bin/activate: No such file or directory
/home/sep4013/.conda/envs/lilac2/lib/python3.13/site-packages/torchio/data/image.py:253: UserWarning: Using TorchIO images without a torchio.SubjectsLoader in PyTorch >= 2.3 might have unexpected consequences, e.g., the collated batches will be instances of torchio.Subject with 5D images. Replace your PyTorch DataLoader with a torchio.SubjectsLoader so that the collated batch becomes a dictionary, as expected. See https://github.com/TorchIO-project/torchio/issues/1179 for more context about this issue.
  warnings.warn(message, stacklevel=1)
 ----------------- Run Setup Summary -----------------
JOB NAME: lilac_rt_order_50
TASK: temporal_ordering
Target Attribute: timepoint
BACKBONE: resnet18_3D
RUN MODE: train
Num of GPUs: 1
Num of Model Parameter: 33203776
 ----------------- Training initiated -----------------
lr_scheduler.StepLR is set:  [20.0, 0.5]

[Epoch 0/100] [Batch 0/1393] [ loss: 0.578703 ] ETA: 2 days, 10:54:22.036681
[Epoch 0/100] [Batch 1/1393] [ loss: 8.474507 ] ETA: 1 day, 18:43:13.714180
[Epoch 0/100] [Batch 2/1393] [ loss: 8.774073 ] ETA: 1 day, 16:10:50.089547
[Epoch 0/100] [Batch 3/1393] [ loss: 6.432208 ] ETA: 1 day, 20:13:17.359004
[Epoch 0/100] [Batch 4/1393] [ loss: 1.114762 ] ETA: 1 day, 20:30:50.159431
[Epoch 0/100] [Batch 5/1393] [ loss: 0.720545 ] ETA: 1 day, 18:53:39.567133
[Epoch 0/100] [Batch 6/1393] [ loss: 2.384648 ] ETA: 1 day, 19:19:24.031661
[Epoch 0/100] [Batch 7/1393] [ loss: 5.842999 ] ETA: 1 day, 20:16:19.627233
[Epoch 0/100] [Batch 8/1393] [ loss: 2.002954 ] ETA: 1 day, 22:28:43.363284
[Epoch 0/100] [Batch 9/1393] [ loss: 1.928502 ] ETA: 1 day, 19:11:52.708850
[Epoch 0/100] [Batch 10/1393] [ loss: 0.785235 ] ETA: 2 days, 13:25:00.272734
[Epoch 0/100] [Batch 11/1393] [ loss: 3.157845 ] ETA: 1 day, 19:07:25.135339
[Epoch 0/100] [Batch 12/1393] [ loss: 0.697975 ] ETA: 1 day, 22:00:06.177328
[Epoch 0/100] [Batch 13/1393] [ loss: 2.421700 ] ETA: 1 day, 17:31:27.854355
[Epoch 0/100] [Batch 14/1393] [ loss: 1.314297 ] ETA: 1 day, 14:57:05.531210
[Epoch 0/100] [Batch 15/1393] [ loss: 2.834791 ] ETA: 1 day, 18:51:10.767217
[Epoch 0/100] [Batch 16/1393] [ loss: 1.289945 ] ETA: 1 day, 18:07:20.258629
[Epoch 0/100] [Batch 17/1393] [ loss: 0.539088 ] ETA: 1 day, 18:29:55.868659
[Epoch 0/100] [Batch 18/1393] [ loss: 8.079808 ] ETA: 1 day, 21:39:52.286124
